FID,Id,Address,City,County,State,Zip,Country
0,4,754 Ridgefield Dr,Coopersville,Ottawa County,Michigan,49404,USA
1,6,3746 Knapp St NE,Grand Rapids,Kent County,Michigan,49525,USA
2,11,4115 64th St SW,Grandville,Kent County,Michigan,49418,USA
3,12,2017 Harding St,Conklin,Ottawa County,Michigan,49403,USA
4,16,1410 117th Ave,Otsego,Allegan County,Michigan,49078,USA
5,20,2420 Valentine Blvd NE,Grand Rapids,Kent County,Michigan,49525,USA
6,23,315 Wilson Ave NW,Grand Rapids,Kent County,Michigan,49534,USA
7,26,293 Dratz St,Muskegon,Muskegon County,Michigan,49442,USA
8,37,3232 Lake Dr SE,Grand Rapids,Kent County,Michigan,49546,USA
9,41,23149 16th Ave,Conklin,Ottawa County,Michigan,49403,USA
10,46,15460 Larsen Ave NE,Gowen,Kent County,Michigan,49326,USA
11,47,662 N Mill Iron Rd,Muskegon,Muskegon County,Michigan,49442,USA
12,48,33 Pond Ridge Dr NE,Grand Rapids,Kent County,Michigan,49546,USA
13,52,1999 Warden Rd,Orleans,Ionia County,Michigan,48865,USA
14,54,8865 Croswell Ave,Newaygo,Newaygo County,Michigan,49337,USA
15,58,4567 47th St,Holland,Allegan County,Michigan,49423,USA
16,60,6903 100th St SE,Caledonia,Kent County,Michigan,49316,USA
17,62,3737 12th St,Wayland,Allegan County,Michigan,49348,USA
18,64,3563 34th St,Hamilton,Allegan County,Michigan,49419,USA
19,65,2299 35th St,Allegan,Allegan County,Michigan,49010,USA
20,66,11960 Lincoln St,Grand Haven,Ottawa County,Michigan,49417,USA
21,70,792 Pine Bay Ave,Holland,Ottawa County,Michigan,49424,USA
22,72,11042 8th Ave NW,Grand Rapids,Ottawa County,Michigan,49534,USA
23,77,6318 Barry St,Hudsonville,Ottawa County,Michigan,49426,USA
24,79,6948 W Dickerson Lake Rd,Greenville,Montcalm County,Michigan,48838,USA
25,80,4472 46th St,Holland,Allegan County,Michigan,49423,USA
26,82,300 Rockford Park Dr NE,Rockford,Kent County,Michigan,49341,USA
27,84,2723 9 Mile Rd NW,Grand Rapids,Kent County,Michigan,49544,USA
28,89,14501 Stout Ave NE,Cedar Springs,Kent County,Michigan,49319,USA
29,96,14944 Riley St,Holland,Ottawa County,Michigan,49424,USA
30,101,38 Rockview Dr NE,Rockford,Kent County,Michigan,49341,USA
31,104,15692 Taylor St,West Olive,Ottawa County,Michigan,49460,USA
32,108,4891 N Black Rd,Coral,Montcalm County,Michigan,49322,USA
33,109,1113 S Peters Rd,Casnovia,Muskegon County,Michigan,49318,USA
34,118,7631 N Noffke Dr,Caledonia,Barry County,Michigan,49316,USA
35,120,3501 Hillcroft Ave SW,Grand Rapids,Kent County,Michigan,49548,USA
36,121,17457 Marduk Ave NE,Cedar Springs,Kent County,Michigan,49319,USA
37,124,1153 Biggs Ave NE,Lowell,Kent County,Michigan,49331,USA
38,125,1751 Newark Ave SE,Grand Rapids,Kent County,Michigan,49507,USA
39,129,4112 Cherry Ln SE,Ada,Kent County,Michigan,49301,USA
40,131,4376 Unity Dr,Hudsonville,Ottawa County,Michigan,49426,USA
41,132,6970 E Farr Rd,Nunica,Muskegon County,Michigan,49448,USA
42,136,2217 138th Ave,Dorr,Allegan County,Michigan,49323,USA
43,139,5425 132nd Ave,Hamilton,Allegan County,Michigan,49419,USA
44,140,762 Tamarack Ave NW,Grand Rapids,Kent County,Michigan,49504,USA
45,144,2290 Tunnel Breeze Ct,Holland,Ottawa County,Michigan,49424,USA
46,145,6500 S Moorland Rd,Ravenna,Muskegon County,Michigan,49451,USA
47,147,2772 E 136th St,Grant,Newaygo County,Michigan,49327,USA
48,149,9581 Bass Dr,Allendale,Ottawa County,Michigan,49401,USA
49,154,13647 Lake Michigan Dr,West Olive,Ottawa County,Michigan,49460,USA
50,160,3734 20th St,Dorr,Allegan County,Michigan,49323,USA
51,161,14382 Cooper Creek Dr,Gowen,Kent County,Michigan,49326,USA
52,162,2820 M-37,Middleville,Barry County,Michigan,49333,USA
53,169,901 W Ellis Ave,Belding,Ionia County,Michigan,48809,USA
54,170,1155 Park St SW,Grand Rapids,Kent County,Michigan,49504,USA
55,172,8719 Rickert Rd,Saranac,Ionia County,Michigan,48881,USA
56,174,11945 Taft St,Nunica,Ottawa County,Michigan,49448,USA
57,175,3938 M-79,Hastings,Barry County,Michigan,49058,USA
58,176,5380 Waldorf Rd,Delton,Barry County,Michigan,49046,USA
59,177,1413 36th Ave,Hudsonville,Ottawa County,Michigan,49426,USA
60,178,326 S Higgins Rd,Saranac,Ionia County,Michigan,48881,USA
61,180,14055 Myers Lake Ave NE,Cedar Springs,Kent County,Michigan,49319,USA
62,182,2962 Fox Dr,Grant,Newaygo County,Michigan,49327,USA
63,188,7667 W Rapp Dr,Grant,Newaygo County,Michigan,49327,USA
64,191,15239 White Rd,Bailey,Muskegon County,Michigan,49303,USA
65,192,3187 Ridges Bnd,Grand Rapids,Kent County,Michigan,49546,USA
66,195,1892 E Vedder Rd,Lake Odessa,Barry County,Michigan,48849,USA
67,196,16730 Kendalville Rd,Coral,Montcalm County,Michigan,49322,USA
68,207,10147 Pease Ave SE,Byron Center,Kent County,Michigan,49315,USA
69,210,14341 White Creek Ave NE,Cedar Springs,Kent County,Michigan,49319,USA
70,212,751 Riley St,Holland,Ottawa County,Michigan,49424,USA
71,215,4078 Whirlwind Dr NE,Rockford,Kent County,Michigan,49341,USA
72,216,433 Crofton St SE,Grand Rapids,Kent County,Michigan,49507,USA
73,217,3587 18th St,Wayland,Allegan County,Michigan,49348,USA
74,218,106 Loch Lomond Ave NE,Grand Rapids,Kent County,Michigan,49546,USA
75,222,2437 Franklin St,Hudsonville,Ottawa County,Michigan,49426,USA
76,224,7500 Shooting Range Trl,Middleville,Barry County,Michigan,49333,USA
77,229,12462 Johnson St,Grand Haven,Ottawa County,Michigan,49417,USA
78,231,2905 Edgewood Ave NE,Grand Rapids,Kent County,Michigan,49505,USA
79,233,1850 W Tupper Heights Dr,Lake Odessa,Ionia County,Michigan,48849,USA
80,236,1849 Westwood Dr NE,Grand Rapids,Kent County,Michigan,49525,USA
81,238,4990 Cooley Rd,Fruitport,Muskegon County,Michigan,49415,USA
82,240,1582 S Briggs Rd,Middleville,Barry County,Michigan,49333,USA
83,243,226 Montgomery St SE,Grand Rapids,Kent County,Michigan,49507,USA
84,246,3671 40th Ave,Hudsonville,Ottawa County,Michigan,49426,USA
85,248,1424 W Main St,Ionia,Ionia County,Michigan,48846,USA
86,250,12042 Hile Rd,Ravenna,Muskegon County,Michigan,49451,USA
87,255,5839 Thornapple River Dr SE,Grand Rapids,Kent County,Michigan,49512,USA
88,257,9067 Wellman Rd NE,Greenville,Kent County,Michigan,48838,USA
89,271,3685 Butterworth Dr SW,Grand Rapids,Kent County,Michigan,49534,USA
90,272,2650 Lowell View Ave,Lowell,Kent County,Michigan,49331,USA
91,274,7977 Ashwood Dr SE,Ada,Kent County,Michigan,49301,USA
92,277,23899 N Derek Dr,Sand Lake,Montcalm County,Michigan,49343,USA
93,279,7700 Ridgewood Dr,Jenison,Ottawa County,Michigan,49428,USA
94,280,14251 Podunk Ave NE,Cedar Springs,Kent County,Michigan,49319,USA
95,283,16774 40th Ave,Coopersville,Ottawa County,Michigan,49404,USA
96,284,14689 Myers Lake Ave NE,Cedar Springs,Kent County,Michigan,49319,USA
97,286,1417 3 Mile Rd NE,Grand Rapids,Kent County,Michigan,49505,USA
98,288,1957 E Vedder Rd,Lake Odessa,Ionia County,Michigan,48849,USA
99,293,5844 Treebrook Ln NE,Ada,Kent County,Michigan,49301,USA
100,296,1685 Summit Crest Ct NE,Belmont,Kent County,Michigan,49306,USA
101,300,2176 E Laketon Ave,Muskegon,Muskegon County,Michigan,49442,USA
102,304,13476 76th St SE,Alto,Kent County,Michigan,49302,USA
103,309,4096 138th Ave,Hamilton,Allegan County,Michigan,49419,USA
104,310,729 Haynor Rd,Ionia,Ionia County,Michigan,48846,USA
105,323,1841 76th Ave,Zeeland,Ottawa County,Michigan,49464,USA
106,324,5352 Hilton Park Rd,Fruitport,Muskegon County,Michigan,49415,USA
107,328,3254 Bass Lake Rd,Pierson,Montcalm County,Michigan,49339,USA
108,329,5424 Wing Ave SE,Grand Rapids,Kent County,Michigan,49512,USA
109,330,3300 10 Mile Rd NE,Rockford,Kent County,Michigan,49341,USA
110,334,11944 Fillmore St,West Olive,Ottawa County,Michigan,49460,USA
111,337,9515 Wilson Ave SW,Byron Center,Kent County,Michigan,49315,USA
112,338,5120 Hostad Rd,Nunica,Muskegon County,Michigan,49448,USA
113,339,550 Washington Ave,Holland,Ottawa County,Michigan,49423,USA
114,343,19478 Kendalville Rd,Howard City,Montcalm County,Michigan,49329,USA
115,344,2810 16 Mile Rd NE,Cedar Springs,Kent County,Michigan,49319,USA
116,346,8712 Bever Rd,Delton,Barry County,Michigan,49046,USA
117,349,360 Douglas Ave,Holland,Ottawa County,Michigan,49424,USA
